Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-0,325	122,26
-0,344	121,68
-0,361	120,87
-0,380	120,13
-0,397	119,63
-0,416	118,84
-0,434	118,20
-0,452	117,52
-0,470	116,83
-0,487	116,31
-0,504	115,66
-0,522	115,04
-0,539	114,45
-0,556	113,83
-0,572	113,26
-0,589	112,75
-0,605	112,14
-0,622	111,68
-0,638	111,08
-0,653	110,46
-0,669	110,12
-0,685	109,53
-0,699	109,01
-0,715	108,55
-0,729	108,10
-0,743	107,59
-0,757	107,17
-0,771	106,75
-0,785	106,41
-0,798	105,95
-0,811	105,53
-0,823	105,20
-0,836	104,78
-0,847	104,39
-0,859	104,07
-0,870	103,70
-0,881	103,31
-0,892	103,03
-0,903	102,67
-0,913	102,38
-0,924	102,10
-0,931	101,76
-0,941	101,54
-0,950	101,24
-0,960	100,95
-0,968	100,71
-0,975	100,45
-0,982	100,25
-0,990	100,03
-0,996	99,79
-1,002	99,63
-1,008	99,43
-1,015	99,24
-1,019	99,09
-1,026	98,91
-1,030	98,70
-1,035	98,59
-1,038	98,46
-1,043	98,32
-1,048	98,18
-1,051	98,03
-1,054	97,92
-1,056	97,82
-1,057	97,78
-1,059	97,68
-1,060	97,60
-1,062	97,51
-1,063	97,50
-1,063	97,45
-1,063	97,43
-1,063	97,40
-1,063	97,42
-1,063	97,39
-1,063	97,38
-1,062	97,36
-1,060	97,37
-1,059	97,35
-1,056	97,37
-1,054	97,37
-1,051	97,38
-1,048	97,45
-1,045	97,43
-1,040	97,52
